File,RiskType,Severity,Issue
"src\app\api\settings\api-keys\route.ts","Missing AuditLog","MEDIUM","Config state mutation without auditLog"
"src\app\api\settings\api-keys\[id]\route.ts","Missing AuditLog","MEDIUM","Config state mutation without auditLog"
"src\app\api\settings\approvals\route.ts","Missing AuditLog","MEDIUM","Config state mutation without auditLog"
"src\app\api\settings\approvals\[id]\route.ts","Global Config Poisoning","CRITICAL","Missing tenantId in config DB operation"
"src\app\api\settings\approvals\[id]\route.ts","Cross-company config mutation","CRITICAL","Settings mutated without explicit admin/owner RBAC check"
"src\app\api\settings\approvals\[id]\route.ts","Missing AuditLog","MEDIUM","Config state mutation without auditLog"
"src\app\api\settings\currencies\route.ts","Missing AuditLog","MEDIUM","Config state mutation without auditLog"
"src\app\api\settings\currencies\[id]\route.ts","Missing AuditLog","MEDIUM","Config state mutation without auditLog"
"src\app\api\settings\exchange-rates\route.ts","Global Config Poisoning","CRITICAL","Missing tenantId in config DB operation"
"src\app\api\settings\exchange-rates\route.ts","Cross-company config mutation","CRITICAL","Settings mutated without explicit admin/owner RBAC check"
"src\app\api\settings\exchange-rates\route.ts","Missing AuditLog","MEDIUM","Config state mutation without auditLog"
"src\app\api\settings\exchange-rates\[id]\route.ts","Global Config Poisoning","CRITICAL","Missing tenantId in config DB operation"
"src\app\api\settings\exchange-rates\[id]\route.ts","Cross-company config mutation","CRITICAL","Settings mutated without explicit admin/owner RBAC check"
"src\app\api\settings\exchange-rates\[id]\route.ts","Missing AuditLog","MEDIUM","Config state mutation without auditLog"
"src\app\api\settings\generate-barcode\route.ts","Missing AuditLog","MEDIUM","Config state mutation without auditLog"
"src\app\api\settings\generate-keys\route.ts","Missing AuditLog","MEDIUM","Config state mutation without auditLog"
"src\app\api\settings\permissions\fields\route.ts","Missing AuditLog","MEDIUM","Config state mutation without auditLog"
"src\app\api\settings\route.ts","Global Config Poisoning","CRITICAL","Missing tenantId in config DB operation"
"src\app\api\settings\route.ts","Missing AuditLog","MEDIUM","Config state mutation without auditLog"
"src\app\api\settings\upload-logo\route.ts","Missing AuditLog","MEDIUM","Config state mutation without auditLog"
"src\app\api\settings\zatca-onboard\route.ts","Missing AuditLog","MEDIUM","Config state mutation without auditLog"
"src\app\api\settings\[key]\route.ts","Missing AuditLog","MEDIUM","Config state mutation without auditLog"
"src\app\api\system\numbering\route.ts","Missing AuditLog","MEDIUM","Config state mutation without auditLog"
"src\app\api\finance\assets\route.ts","Missing AuditLog","MEDIUM","Config state mutation without auditLog"
"src\app\api\finance\auto-ecl\route.ts","Missing AuditLog","MEDIUM","Config state mutation without auditLog"
"src\app\api\finance\bank-recon\rules\route.ts","Missing AuditLog","MEDIUM","Config state mutation without auditLog"
"src\app\api\finance\cash-flow\forecast\route.ts","Missing AuditLog","MEDIUM","Config state mutation without auditLog"
"src\app\api\finance\checks\route.ts","Missing AuditLog","MEDIUM","Config state mutation without auditLog"
"src\app\api\finance\checks\[id]\process\route.ts","Missing AuditLog","MEDIUM","Config state mutation without auditLog"
"src\app\api\finance\consolidation\elimination\route.ts","Missing AuditLog","MEDIUM","Config state mutation without auditLog"
"src\app\api\finance\payment-run\propose\route.ts","Missing AuditLog","MEDIUM","Config state mutation without auditLog"
"src\app\api\finance\payment-run\[id]\approve\route.ts","Missing AuditLog","MEDIUM","Config state mutation without auditLog"
"src\app\api\finance\payment-run\[id]\confirm\route.ts","Missing AuditLog","MEDIUM","Config state mutation without auditLog"
"src\app\api\finance\payment-run\[id]\send-bank\route.ts","Missing AuditLog","MEDIUM","Config state mutation without auditLog"
"src\app\api\finance\period-close\route.ts","Cross-company config mutation","CRITICAL","Settings mutated without explicit admin/owner RBAC check"
"src\app\api\finance\petty-cash\route.ts","Missing AuditLog","MEDIUM","Config state mutation without auditLog"
"src\app\api\finance\petty-cash\[id]\process\route.ts","Missing AuditLog","MEDIUM","Config state mutation without auditLog"
"src\app\api\finance\reconciliations\route.ts","Missing AuditLog","MEDIUM","Config state mutation without auditLog"
"src\app\api\finance\reconciliations\[id]\route.ts","Missing AuditLog","MEDIUM","Config state mutation without auditLog"
