FilePath,IssueType,Severity,Metric
src\app\(dashboard)\sales\page.tsx,HugeComponent,High,1780
src\components\Sidebar.tsx,HugeComponent,High,1255
src\app\(dashboard)\accounting\page.tsx,HugeComponent,High,1063
src\app\(dashboard)\restaurant-pos\page.tsx,HugeComponent,High,962
src\app\(dashboard)\settings\page.tsx,HugeComponent,High,939
src\app\(dashboard)\pos\page.tsx,HugeComponent,High,879
src\components\InvoiceReceipt.tsx,HugeComponent,High,827
src\app\company-info\page.tsx,HugeComponent,High,715
src\app\(dashboard)\products\components\ProductFormModal.tsx,HugeComponent,High,680
src\app\(dashboard)\settings\roles\page.tsx,HugeComponent,High,653
src\app\(dashboard)\purchase-orders\page.tsx,HugeComponent,High,642
src\app\design2\page.tsx,HugeComponent,High,596
src\app\login\page.tsx,HugeComponent,High,582
src\app\design4\page.tsx,HugeComponent,High,552
src\app\(dashboard)\settings\company\page.tsx,HugeComponent,High,549
src\app\(dashboard)\price-quotes\page.tsx,HugeComponent,High,537
src\app\(dashboard)\sales\options\page.tsx,HugeComponent,High,506
src\app\page_backup.tsx,HugeComponent,High,504
src\app\(dashboard)\accounting\journal\page.tsx,SecurityDangerouslySetInnerHtml,Critical,0
src\app\(dashboard)\accounting\page.tsx,SecurityDangerouslySetInnerHtml,Critical,0
src\app\(dashboard)\ai-cfo\page.tsx,SecurityDangerouslySetInnerHtml,Critical,0
src\app\(dashboard)\ai-copilot\page.tsx,SecurityDangerouslySetInnerHtml,Critical,0
src\app\(dashboard)\barcode\page.tsx,SecurityDangerouslySetInnerHtml,Critical,0
src\app\(dashboard)\crm\leads\page.tsx,SecurityDangerouslySetInnerHtml,Critical,0
src\app\(dashboard)\employees\page.tsx,SecurityDangerouslySetInnerHtml,Critical,0
src\app\(dashboard)\hr\payslip\[id]\page.tsx,SecurityDangerouslySetInnerHtml,Critical,0
src\app\(dashboard)\manufacturing\mrp-dashboard\page.tsx,SecurityDangerouslySetInnerHtml,Critical,0
src\app\(dashboard)\pos-demo\page.tsx,SecurityDangerouslySetInnerHtml,Critical,0
src\app\(dashboard)\purchase-orders\page.tsx,SecurityDangerouslySetInnerHtml,Critical,0
src\app\(dashboard)\rem\page.tsx,SecurityDangerouslySetInnerHtml,Critical,0
src\app\(dashboard)\rent\page.tsx,SecurityDangerouslySetInnerHtml,Critical,0
src\app\(dashboard)\reports\customer-statement\page.tsx,SecurityDangerouslySetInnerHtml,Critical,0
src\app\(dashboard)\sales\analytics\page.tsx,SecurityDangerouslySetInnerHtml,Critical,0
src\app\(dashboard)\school\attendance\page.tsx,SecurityDangerouslySetInnerHtml,Critical,0
src\app\(dashboard)\school\dashboard\page.tsx,SecurityDangerouslySetInnerHtml,Critical,0
src\app\(dashboard)\school\exams\page.tsx,SecurityDangerouslySetInnerHtml,Critical,0
src\app\(dashboard)\school\page.tsx,SecurityDangerouslySetInnerHtml,Critical,0
src\app\(dashboard)\school\schedule\page.tsx,SecurityDangerouslySetInnerHtml,Critical,0
src\app\(dashboard)\school\stages\page.tsx,SecurityDangerouslySetInnerHtml,Critical,0
src\app\(dashboard)\school\transport\page.tsx,SecurityDangerouslySetInnerHtml,Critical,0
src\app\(dashboard)\scm\page.tsx,SecurityDangerouslySetInnerHtml,Critical,0
src\app\(dashboard)\warehouses\page.tsx,SecurityDangerouslySetInnerHtml,Critical,0
src\app\api-docs\page.tsx,SecurityDangerouslySetInnerHtml,Critical,0
src\app\design1\page.tsx,SecurityDangerouslySetInnerHtml,Critical,0
src\app\design2\page.tsx,SecurityDangerouslySetInnerHtml,Critical,0
src\app\design3\page.tsx,SecurityDangerouslySetInnerHtml,Critical,0
src\app\design4\page.tsx,SecurityDangerouslySetInnerHtml,Critical,0
src\app\factory\page.tsx,SecurityDangerouslySetInnerHtml,Critical,0
src\app\invoice\[id]\page.tsx,SecurityDangerouslySetInnerHtml,Critical,0
src\app\kiosk\attendance\page.tsx,SecurityDangerouslySetInnerHtml,Critical,0
src\app\layout.tsx,SecurityDangerouslySetInnerHtml,Critical,0
src\app\page.tsx,SecurityDangerouslySetInnerHtml,Critical,0
src\app\page_backup.tsx,SecurityDangerouslySetInnerHtml,Critical,0
src\app\pricing\page.tsx,SecurityDangerouslySetInnerHtml,Critical,0
src\app\(dashboard)\accounting\aging-report\page.tsx,SecurityUnprotectedFetch,Medium,0
src\app\(dashboard)\accounting\banks\imports\page.tsx,SecurityUnprotectedFetch,Medium,0
src\app\(dashboard)\accounting\collection-workflow\page.tsx,SecurityUnprotectedFetch,Medium,0
src\app\(dashboard)\accounting\customer-statements\bulk\page.tsx,SecurityUnprotectedFetch,Medium,0
src\app\(dashboard)\accounting\customer-statements\templates\page.tsx,SecurityUnprotectedFetch,Medium,0
src\app\(dashboard)\accounting\deferred\page.tsx,SecurityUnprotectedFetch,Medium,0
src\app\(dashboard)\accounting\financial-close\page.tsx,SecurityUnprotectedFetch,Medium,0
src\app\(dashboard)\accounting\journal\new\page.tsx,SecurityUnprotectedFetch,Medium,0
src\app\(dashboard)\accounting\journal\page.tsx,SecurityUnprotectedFetch,Medium,0
src\app\(dashboard)\accounting\page.tsx,SecurityUnprotectedFetch,Medium,0
src\app\(dashboard)\accounting\period-close\page.tsx,SecurityUnprotectedFetch,Medium,0
src\app\(dashboard)\accounting\period-lock\page.tsx,SecurityUnprotectedFetch,Medium,0
src\app\(dashboard)\accounting\prepayments\page.tsx,SecurityUnprotectedFetch,Medium,0
src\app\(dashboard)\accounting\profit-centers\page.tsx,SecurityUnprotectedFetch,Medium,0
src\app\(dashboard)\accounting\profit-loss\page.tsx,SecurityUnprotectedFetch,Medium,0
src\app\(dashboard)\accounting\vat-return\page.tsx,SecurityUnprotectedFetch,Medium,0
src\app\(dashboard)\admin\bi-builder\page.tsx,SecurityUnprotectedFetch,Medium,0
src\app\(dashboard)\admin\compliance\page.tsx,SecurityUnprotectedFetch,Medium,0
src\app\(dashboard)\admin\e2e-tester\page.tsx,SecurityUnprotectedFetch,Medium,0
src\app\(dashboard)\admin\knowledge\page.tsx,SecurityUnprotectedFetch,Medium,0
src\app\(dashboard)\admin\llm-costs\page.tsx,SecurityUnprotectedFetch,Medium,0
src\app\(dashboard)\admin\orchestration\page.tsx,SecurityUnprotectedFetch,Medium,0
src\app\(dashboard)\admin\outbox\page.tsx,SecurityUnprotectedFetch,Medium,0
src\app\(dashboard)\admin\prompts\page.tsx,SecurityUnprotectedFetch,Medium,0
src\app\(dashboard)\ai\bank-fraud\page.tsx,SecurityUnprotectedFetch,Medium,0
src\app\(dashboard)\ai-auditor\page.tsx,SecurityUnprotectedFetch,Medium,0
src\app\(dashboard)\ai-bank\page.tsx,SecurityUnprotectedFetch,Medium,0
src\app\(dashboard)\ai-scm\page.tsx,SecurityUnprotectedFetch,Medium,0
src\app\(dashboard)\ap\capture\page.tsx,SecurityUnprotectedFetch,Medium,0
src\app\(dashboard)\approvals\inbox\page.tsx,SecurityUnprotectedFetch,Medium,0
src\app\(dashboard)\accounting\allocations\rules\page.tsx,RTLBreakage,Low,0
src\app\(dashboard)\accounting\banks\imports\page.tsx,RTLBreakage,Low,0
src\app\(dashboard)\accounting\banks\recon\page.tsx,RTLBreakage,Low,0
src\app\(dashboard)\accounting\customer-statements\page.tsx,RTLBreakage,Low,0
src\app\(dashboard)\accounting\customer-statements\templates\page.tsx,RTLBreakage,Low,0
src\app\(dashboard)\accounting\dunning\page.tsx,RTLBreakage,Low,0
src\app\(dashboard)\accounting\journal\new\page.tsx,RTLBreakage,Low,0
src\app\(dashboard)\accounting\multi-book\page.tsx,RTLBreakage,Low,0
src\app\(dashboard)\accounting\page.tsx,RTLBreakage,Low,0
src\app\(dashboard)\accounting\payment-runs\page.tsx,RTLBreakage,Low,0
src\app\(dashboard)\accounting\trial-balance\page.tsx,RTLBreakage,Low,0
src\app\(dashboard)\accounting\vendor-statements\page.tsx,RTLBreakage,Low,0
src\app\(dashboard)\accounting\year-end-close\page.tsx,RTLBreakage,Low,0
