File,Severity,Issue
src/app/api/products/export/route.ts,CRITICAL,"Missing tenantId isolation in database queries"
src/app/api/products/import/route.ts,CRITICAL,"Missing tenantId isolation in database queries"
src/app/api/products/import/route.ts,LOW,"Missing audit trail for mutations"
src/app/api/products/route.ts,CRITICAL,"Missing tenantId isolation in database queries"
src/app/api/products/route.ts,CRITICAL,"Unsafe DB operation (upsert/delete) without tenant isolation"
src/app/api/products/route.ts,LOW,"Missing audit trail for mutations"
src/app/api/products/[id]/route.ts,HIGH,"Missing RBAC on master-data mutations"
src/app/api/products/[id]/route.ts,LOW,"Missing audit trail for mutations"
src/app/api/categories/route.ts,HIGH,"Missing RBAC on master-data mutations"
src/app/api/categories/route.ts,LOW,"Missing audit trail for mutations"
src/app/api/categories/[id]/route.ts,CRITICAL,"Missing tenantId isolation in database queries"
src/app/api/categories/[id]/route.ts,CRITICAL,"Unsafe DB operation (upsert/delete) without tenant isolation"
src/app/api/categories/[id]/route.ts,HIGH,"Missing RBAC on master-data mutations"
src/app/api/categories/[id]/route.ts,LOW,"Missing audit trail for mutations"
src/app/api/units/route.ts,CRITICAL,"Missing tenantId isolation in database queries"
src/app/api/units/route.ts,CRITICAL,"Unsafe DB operation (upsert/delete) without tenant isolation"
src/app/api/units/route.ts,HIGH,"Missing RBAC on master-data mutations"
src/app/api/units/route.ts,LOW,"Missing audit trail for mutations"
src/app/api/vendors/[id]/statement/route.ts,HIGH,"Missing RBAC on master-data mutations"
src/app/api/vendors/[id]/statement/route.ts,LOW,"Missing audit trail for mutations"
src/app/api/customers/route.ts,CRITICAL,"Missing tenantId isolation in database queries"
src/app/api/customers/route.ts,LOW,"Missing audit trail for mutations"
src/app/api/customers/[id]/gdpr-delete/route.ts,CRITICAL,"Missing tenantId isolation in database queries"
src/app/api/customers/[id]/gdpr-delete/route.ts,HIGH,"Missing RBAC on master-data mutations"
src/app/api/customers/[id]/gdpr-delete/route.ts,LOW,"Missing audit trail for mutations"
src/app/api/customers/[id]/hold/route.ts,CRITICAL,"Missing tenantId isolation in database queries"
src/app/api/customers/[id]/hold/route.ts,HIGH,"Missing RBAC on master-data mutations"
src/app/api/customers/[id]/hold/route.ts,LOW,"Missing audit trail for mutations"
src/app/api/customers/[id]/route.ts,CRITICAL,"Missing tenantId isolation in database queries"
src/app/api/customers/[id]/route.ts,CRITICAL,"Unsafe DB operation (upsert/delete) without tenant isolation"
src/app/api/customers/[id]/route.ts,HIGH,"Missing RBAC on master-data mutations"
src/app/api/customers/[id]/route.ts,LOW,"Missing audit trail for mutations"
src/app/api/customers/[id]/statement/route.ts,HIGH,"Missing RBAC on master-data mutations"
src/app/api/customers/[id]/statement/route.ts,LOW,"Missing audit trail for mutations"
src/app/api/product-stocks/location/route.ts,CRITICAL,"Missing tenantId isolation in database queries"
src/app/api/product-stocks/location/route.ts,HIGH,"Missing RBAC on master-data mutations"
src/app/api/product-stocks/location/route.ts,LOW,"Missing audit trail for mutations"
