File,Model,Operation,Severity,Issue
"src/app/api/accounting/accounts/init/route.ts","account","create","CRITICAL","Mutation without tenantId"
"src/app/api/accounting/accounts/route.ts","account","create","CRITICAL","Mutation without tenantId"
"src/app/api/accounting/accounts/route.ts","account","update","CRITICAL","Mutation without tenantId"
"src/app/api/accounting/accounts/route.ts","account","delete","CRITICAL","Mutation without tenantId"
"src/app/api/accounting/banks/recon/create-je/route.ts","journalEntry","create","CRITICAL","Mutation without tenantId"
"src/app/api/accounting/banks/recon/create-je/route.ts","bankStatementLine","update","CRITICAL","Mutation without tenantId"
"src/app/api/accounting/banks/recon/match/route.ts","bankStatementLine","update","CRITICAL","Mutation without tenantId"
"src/app/api/accounting/books/route.ts","accountingBook","create","CRITICAL","Mutation without tenantId"
"src/app/api/accounting/closing/route.ts","fiscalPeriod","update","CRITICAL","Mutation without tenantId"
"src/app/api/accounting/cost-centers/route.ts","costCenter","create","CRITICAL","Mutation without tenantId"
"src/app/api/accounting/cost-centers/route.ts","costCenter","update","CRITICAL","Mutation without tenantId"
"src/app/api/accounting/cost-centers/route.ts","costCenter","delete","CRITICAL","Mutation without tenantId"
"src/app/api/accounting/customer-statements/bulk/run/route.ts","statementBatch","create","CRITICAL","Mutation without tenantId"
"src/app/api/accounting/customer-statements/bulk/run/route.ts","statementDispatchLog","create","CRITICAL","Mutation without tenantId"
"src/app/api/accounting/customer-statements/bulk/run/route.ts","statementBatch","update","CRITICAL","Mutation without tenantId"
"src/app/api/accounting/customer-statements/generate-pdf/route.ts","statementDispatchLog","create","CRITICAL","Mutation without tenantId"
"src/app/api/accounting/customer-statements/templates/route.ts","customerStatementTemplate","create","CRITICAL","Mutation without tenantId"
"src/app/api/accounting/customer-statements/templates/[id]/route.ts","customerStatementTemplate","update","CRITICAL","Mutation without tenantId"
"src/app/api/accounting/customer-statements/templates/[id]/route.ts","customerStatementTemplate","delete","CRITICAL","Mutation without tenantId"
"src/app/api/accounting/dunning/promise-to-pay/route.ts","promiseToPay","create","CRITICAL","Mutation without tenantId"
"src/app/api/accounting/dunning/promise-to-pay/route.ts","customer","update","CRITICAL","Mutation without tenantId"
"src/app/api/accounting/fiscal-years/route.ts","fiscalYear","create","CRITICAL","Mutation without tenantId"
"src/app/api/accounting/journal/[id]/route.ts","journalEntry","update","CRITICAL","Mutation without tenantId"
"src/app/api/accounting/journal/[id]/route.ts","account","update","CRITICAL","Mutation without tenantId"
"src/app/api/accounting/lc/route.ts","letterOfCredit","create","CRITICAL","Mutation without tenantId"
"src/app/api/accounting/lc/route.ts","bankTransaction","create","CRITICAL","Mutation without tenantId"
