Path,Lines,HasPrismaDirect,HasServiceCall,NeedsRefactor
"D:\namasoft9-3-main\src\app\api\accounting\accounts\init\route.ts",69,true,false,true
"D:\namasoft9-3-main\src\app\api\accounting\accounts\route.ts",157,true,false,true
"D:\namasoft9-3-main\src\app\api\accounting\accruals\route.ts",125,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\aging\route.ts",193,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\allocations\route.ts",63,false,true,false
"D:\namasoft9-3-main\src\app\api\accounting\allocations\run\route.ts",44,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\allocations\simulate\route.ts",42,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\audit-export\route.ts",74,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\balance-sheet\route.ts",114,true,false,true
"D:\namasoft9-3-main\src\app\api\accounting\bank-feed\route.ts",50,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\bank-recon\auto-match\route.ts",39,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\bank-recon\route.ts",172,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\bank-statements\route.ts",24,true,false,false
"D:\namasoft9-3-main\src\app\api\accounting\bank-statements\upload\route.ts",48,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\banks\imports\route.ts",39,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\banks\recon\create-je\route.ts",71,true,false,true
"D:\namasoft9-3-main\src\app\api\accounting\banks\recon\match\route.ts",50,true,false,false
"D:\namasoft9-3-main\src\app\api\accounting\books\route.ts",124,true,false,true
"D:\namasoft9-3-main\src\app\api\accounting\budget\check\route.ts",49,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\budget\variance\route.ts",27,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\cashflow\forecast\route.ts",24,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\chart-of-accounts-import\route.ts",196,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\closing\route.ts",74,true,false,true
"D:\namasoft9-3-main\src\app\api\accounting\coa\reset-to-socpa\route.ts",40,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\collection-workflow\route.ts",112,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\consolidation\commit\route.ts",38,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\consolidation\run\route.ts",44,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\cost-center-report\route.ts",119,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\cost-centers\route.ts",160,true,false,true
"D:\namasoft9-3-main\src\app\api\accounting\customer-statements\bulk\history\route.ts",33,true,false,false
"D:\namasoft9-3-main\src\app\api\accounting\customer-statements\bulk\preview\route.ts",67,true,false,true
"D:\namasoft9-3-main\src\app\api\accounting\customer-statements\bulk\run\route.ts",123,true,false,true
"D:\namasoft9-3-main\src\app\api\accounting\customer-statements\generate-pdf\route.ts",65,true,false,true
"D:\namasoft9-3-main\src\app\api\accounting\customer-statements\preview\route.ts",57,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\customer-statements\send-email\route.ts",48,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\customer-statements\templates\route.ts",88,true,false,true
"D:\namasoft9-3-main\src\app\api\accounting\customer-statements\templates\[id]\route.ts",78,true,false,true
"D:\namasoft9-3-main\src\app\api\accounting\customers\[id]\statement\route.ts",37,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\deferred\route.ts",47,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\deferred-tax\route.ts",81,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\depreciation\route.ts",73,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\dunning\daily-run\route.ts",34,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\dunning\promise-to-pay\route.ts",66,true,false,true
"D:\namasoft9-3-main\src\app\api\accounting\ecl\run\route.ts",44,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\financial-close\route.ts",35,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\financial-statements\route.ts",118,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\fiscal-periods\route.ts",76,true,false,true
"D:\namasoft9-3-main\src\app\api\accounting\fiscal-years\route.ts",71,true,false,true
"D:\namasoft9-3-main\src\app\api\accounting\fixed-assets\depreciate\route.ts",26,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\fixed-assets\route.ts",22,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\fx-revaluation\run\route.ts",46,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\governance-violations\route.ts",36,true,false,false
"D:\namasoft9-3-main\src\app\api\accounting\gr-ir-clearing\route.ts",156,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\income-statement\route.ts",83,true,false,true
"D:\namasoft9-3-main\src\app\api\accounting\inter-company\route.ts",133,false,true,false
"D:\namasoft9-3-main\src\app\api\accounting\intercompany\route.ts",48,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\inventory-valuation-snapshot\route.ts",157,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\journal\route.ts",155,true,false,true
"D:\namasoft9-3-main\src\app\api\accounting\journal\[id]\route.ts",243,true,false,true
"D:\namasoft9-3-main\src\app\api\accounting\lc\route.ts",124,true,false,true
"D:\namasoft9-3-main\src\app\api\accounting\leases\amortize\route.ts",26,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\leases\route.ts",99,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\ledger\route.ts",82,true,false,true
"D:\namasoft9-3-main\src\app\api\accounting\month-end-close\route.ts",108,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\multi-book\adjustments\route.ts",39,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\open-items\apply-payment\route.ts",35,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\open-items\auto-clear\route.ts",25,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\open-items\disputes\route.ts",28,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\open-items\promise-to-pay\route.ts",29,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\open-items\route.ts",130,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\opening-balances\route.ts",195,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\payment-runs\propose\route.ts",42,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\payment-runs\[id]\approve\route.ts",42,true,false,false
"D:\namasoft9-3-main\src\app\api\accounting\payment-runs\[id]\generate-files\route.ts",74,true,false,true
"D:\namasoft9-3-main\src\app\api\accounting\payment-runs\[id]\post-journal\route.ts",88,true,false,true
"D:\namasoft9-3-main\src\app\api\accounting\payment-runs\[id]\submit-for-approval\route.ts",36,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\payment-runs\[id]\upload-confirmation\route.ts",69,true,false,true
"D:\namasoft9-3-main\src\app\api\accounting\payroll-gl\route.ts",259,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\period-close\route.ts",139,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\period-lock\route.ts",115,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\prepayments\route.ts",177,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\profit-centers\route.ts",80,true,false,true
"D:\namasoft9-3-main\src\app\api\accounting\profit-loss\route.ts",187,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\revenue-recognition\amortize\route.ts",26,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\revenue-recognition\route.ts",119,true,false,true
"D:\namasoft9-3-main\src\app\api\accounting\reversal\route.ts",91,true,false,true
"D:\namasoft9-3-main\src\app\api\accounting\segments\route.ts",85,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\statement\route.ts",219,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\trial-balance\route.ts",44,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\vat-return\route.ts",172,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\year-end\initiate\route.ts",28,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\year-end\reopen\route.ts",45,true,false,false
"D:\namasoft9-3-main\src\app\api\accounting\year-end\[runId]\finalize\route.ts",29,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\year-end\[runId]\reports\route.ts",257,true,false,true
"D:\namasoft9-3-main\src\app\api\accounting\year-end\[runId]\tasks\route.ts",30,true,false,false
"D:\namasoft9-3-main\src\app\api\accounting\year-end\[runId]\tasks\[taskCode]\complete\route.ts",43,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\year-end\[runId]\tasks\[taskCode]\execute\route.ts",30,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\year-end-close\close-period\route.ts",36,false,false,false
"D:\namasoft9-3-main\src\app\api\accounting\year-end-close\route.ts",109,false,false,false
"D:\namasoft9-3-main\src\app\api\accounts\route.ts",7,false,false,false
"D:\namasoft9-3-main\src\app\api\adjustments\route.ts",259,false,true,false
"D:\namasoft9-3-main\src\app\api\admin\audit-logs\route.ts",87,true,false,true
"D:\namasoft9-3-main\src\app\api\admin\backups\route.ts",52,true,false,true
"D:\namasoft9-3-main\src\app\api\admin\bi\query\route.ts",57,false,false,false
"D:\namasoft9-3-main\src\app\api\admin\compliance\route.ts",40,true,false,false
"D:\namasoft9-3-main\src\app\api\admin\e2e-test\route.ts",232,true,false,true
