FilePath,IssueType,Severity,Metric
src\app\(dashboard)\sales\page.tsx,HugeComponent,High,1780
src\app\(dashboard)\accounting\page.tsx,HugeComponent,High,1063
src\app\(dashboard)\restaurant-pos\page.tsx,HugeComponent,High,962
src\app\(dashboard)\settings\page.tsx,HugeComponent,High,939
src\app\(dashboard)\pos\page.tsx,HugeComponent,High,879
src\app\company-info\page.tsx,HugeComponent,High,715
src\app\(dashboard)\settings\roles\page.tsx,HugeComponent,High,653
src\app\(dashboard)\purchase-orders\page.tsx,HugeComponent,High,642
src\app\design2\page.tsx,HugeComponent,High,596
src\app\login\page.tsx,HugeComponent,High,582
src\app\design4\page.tsx,HugeComponent,High,552
src\app\(dashboard)\settings\company\page.tsx,HugeComponent,High,549
src\app\(dashboard)\price-quotes\page.tsx,HugeComponent,High,537
src\app\(dashboard)\sales\options\page.tsx,HugeComponent,High,506
src\app\(dashboard)\accounting\allocations\rules\page.tsx,RTLBreakage,Medium,0
src\app\(dashboard)\accounting\banks\imports\page.tsx,RTLBreakage,Medium,0
src\app\(dashboard)\accounting\banks\recon\page.tsx,RTLBreakage,Medium,0
src\app\(dashboard)\accounting\customer-statements\page.tsx,RTLBreakage,Medium,0
src\app\(dashboard)\accounting\customer-statements\templates\page.tsx,RTLBreakage,Medium,0
src\app\(dashboard)\accounting\dunning\page.tsx,RTLBreakage,Medium,0
src\app\(dashboard)\accounting\journal\new\page.tsx,RTLBreakage,Medium,0
src\app\(dashboard)\accounting\lc\page.tsx,RTLBreakage,Medium,0
src\app\(dashboard)\accounting\multi-book\page.tsx,RTLBreakage,Medium,0
src\app\(dashboard)\accounting\page.tsx,RTLBreakage,Medium,0
src\app\(dashboard)\accounting\payment-runs\create\page.tsx,RTLBreakage,Medium,0
src\app\(dashboard)\accounting\payment-runs\page.tsx,RTLBreakage,Medium,0
src\app\(dashboard)\accounting\trial-balance\page.tsx,RTLBreakage,Medium,0
src\app\(dashboard)\accounting\vendor-statements\bulk\page.tsx,RTLBreakage,Medium,0
src\app\(dashboard)\accounting\vendor-statements\page.tsx,RTLBreakage,Medium,0
src\app\(dashboard)\accounting\year-end-close\page.tsx,RTLBreakage,Medium,0
src\app\(dashboard)\admin\bi-builder\page.tsx,RTLBreakage,Medium,0
src\app\(dashboard)\admin\compliance\page.tsx,RTLBreakage,Medium,0
src\app\(dashboard)\admin\grc\page.tsx,RTLBreakage,Medium,0
src\app\(dashboard)\admin\llm-costs\page.tsx,RTLBreakage,Medium,0
src\app\(dashboard)\admin\orchestration\page.tsx,RTLBreakage,Medium,0
src\app\(dashboard)\admin\outbox\page.tsx,RTLBreakage,Medium,0
src\app\(dashboard)\admin\prompts\cost\page.tsx,RTLBreakage,Medium,0
src\app\(dashboard)\admin\security\mfa-audit\page.tsx,RTLBreakage,Medium,0
src\app\(dashboard)\admin\security\mfa-policy\page.tsx,RTLBreakage,Medium,0
src\app\(dashboard)\ai-cfo\page.tsx,RTLBreakage,Medium,0
src\app\(dashboard)\ai-copilot\page.tsx,RTLBreakage,Medium,0
src\app\(dashboard)\ap\capture\page.tsx,RTLBreakage,Medium,0
src\app\(dashboard)\approvals\inbox\page.tsx,RTLBreakage,Medium,0
src\app\(dashboard)\assets\page.tsx,RTLBreakage,Medium,0
